theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.5,0.02,26,0.01,0.07,0.12,0.16,0.12,0.52
"(1,1)",0.5,0.02,27,0.01,0.07,0.11,0.15,0.14,0.52
"(1,1)",0.5,0.02,28,0.01,0.07,0.1,0.16,0.12,0.54
"(1,1)",0.5,0.02,29,0.01,0.07,0.1,0.14,0.11,0.57
"(1,1)",0.5,0.02,30,0.01,0.07,0.1,0.14,0.09,0.59
"(1,1)",0.5,0.02,31,0.01,0.07,0.1,0.14,0.08,0.6
"(1,1)",0.5,0.02,32,0.01,0.07,0.09,0.15,0.05,0.63
"(1,1)",0.5,0.02,33,0.01,0.07,0.09,0.13,0.06,0.64
"(1,1)",0.5,0.02,34,0.01,0.07,0.09,0.13,0.04,0.66
"(1,1)",0.5,0.02,35,0.01,0.07,0.09,0.11,0.05,0.67
"(1,1)",0.5,0.02,36,0.01,0.07,0.09,0.11,0.03,0.69
"(1,1)",0.5,0.02,37,0.01,0.07,0.09,0.11,0.02,0.7
"(1,1)",0.5,0.02,38,0.01,0.07,0.09,0.09,0.04,0.7
"(1,1)",0.5,0.02,39,0.01,0.07,0.08,0.1,0.03,0.71
"(1,1)",0.5,0.02,40,0.01,0.07,0.08,0.1,0.03,0.71
"(1,1)",0.5,0.02,41,0.01,0.07,0.08,0.1,0.03,0.71
"(1,1)",0.5,0.02,42,0.01,0.07,0.08,0.1,0.03,0.71
"(1,1)",0.5,0.02,43,0.01,0.07,0.08,0.1,0.03,0.71
"(1,1)",0.5,0.02,44,0.01,0.07,0.08,0.1,0.02,0.72
"(1,1)",0.5,0.02,45,0.01,0.07,0.07,0.1,0.03,0.72
"(1,1)",0.5,0.02,46,0.01,0.07,0.07,0.09,0.04,0.72
"(1,1)",0.5,0.02,47,0.01,0.07,0.07,0.09,0.03,0.73
